epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.875,2.11285,3.4642,2.27104,0.00254,0.7619,0.16624,0.04406,2.19576,4.44826,2.94955,0.000463056,0.000463056,0.000463056
2,34.3563,2.07588,3.42142,2.03264,0.00096,0.30952,0.00432,0.00101,3.50084,5.89377,4.12868,0.000998552,0.000998552,0.000998552
3,50.7187,1.99488,3.2438,1.97468,0.00096,0.30952,0.00432,0.00101,3.50084,5.89377,4.12868,0.00151204,0.00151204,0.00151204
4,65.3447,2.12515,3.48323,2.18424,0.00225,0.69048,0.01286,0.00304,3.30761,6.19848,3.35642,0.00156798,0.00156798,0.00156798
5,82.3541,1.98866,3.15067,2.01098,0.00214,0.69048,0.1257,0.06104,2.28331,4.58015,3.02487,0.00153497,0.00153497,0.00153497
6,98.1371,1.90993,3.07662,1.95443,0.52964,0.21429,0.15478,0.0538,2.54664,4.55763,3.28758,0.00150197,0.00150197,0.00150197
7,112.402,1.84388,3.03761,2.01655,0.52964,0.21429,0.15478,0.0538,2.54664,4.55763,3.28758,0.00146896,0.00146896,0.00146896
8,128.746,1.71247,3.00264,1.88479,0.60847,0.21429,0.07136,0.03934,2.4906,4.42895,2.99507,0.00143595,0.00143595,0.00143595
9,146.122,1.90428,3.00079,2.00882,0.66658,0.14286,0.10038,0.05003,2.7808,4.59071,3.18246,0.00140295,0.00140295,0.00140295
10,161.45,1.97284,2.96403,2.03122,0.54843,0.07143,0.03188,0.00599,2.85087,4.59108,3.36385,0.00136994,0.00136994,0.00136994
11,176.967,1.90529,2.85507,1.98682,0.54843,0.07143,0.03188,0.00599,2.85087,4.59108,3.36385,0.00133693,0.00133693,0.00133693
12,192.241,1.79964,2.83952,1.93792,0.60545,0.21429,0.06459,0.03047,2.3242,5.09021,2.85904,0.00130393,0.00130393,0.00130393
13,206.644,1.89521,2.70096,1.89438,0.59968,0.21429,0.05036,0.03157,2.25616,5.74898,3.07362,0.00127092,0.00127092,0.00127092
14,222.265,1.62177,2.67816,1.82734,0.6783,0.21429,0.13724,0.07139,2.22789,5.64366,3.00973,0.00123791,0.00123791,0.00123791
15,244.011,1.89963,2.72429,2.01619,0.6783,0.21429,0.13724,0.07139,2.22789,5.64366,3.00973,0.00120491,0.00120491,0.00120491
16,269.18,1.7391,2.85744,1.89625,0.70727,0.21429,0.14688,0.06306,2.20981,5.19612,2.78931,0.0011719,0.0011719,0.0011719
17,292.696,1.74822,2.67982,1.89418,0.78067,0.21429,0.17113,0.07761,2.12449,4.74555,2.66021,0.00113889,0.00113889,0.00113889
18,309.837,1.66676,2.42478,1.79691,0.17959,0.21429,0.16846,0.09184,2.08034,4.87099,2.49695,0.00110589,0.00110589,0.00110589
19,327.074,1.61936,2.65116,1.85497,0.17959,0.21429,0.16846,0.09184,2.08034,4.87099,2.49695,0.00107288,0.00107288,0.00107288
20,342.005,1.64974,2.68879,1.91869,0.18336,0.21429,0.12698,0.05659,2.51454,6.19428,2.87789,0.00103987,0.00103987,0.00103987
21,356.127,1.67317,2.66713,1.84997,0.15632,0.45238,0.19404,0.09775,2.20519,6.15368,2.7245,0.00100687,0.00100687,0.00100687
22,370.306,1.56862,2.62852,1.70864,0.19014,0.38095,0.22921,0.10754,2.08454,5.10714,2.64282,0.000973861,0.000973861,0.000973861
23,384.431,1.65228,2.55413,1.86066,0.19014,0.38095,0.22921,0.10754,2.08454,5.10714,2.64282,0.000940855,0.000940855,0.000940855
24,398.045,1.65642,2.40941,1.82587,0.14493,0.29762,0.22273,0.1038,2.18318,4.11196,2.60447,0.000907848,0.000907848,0.000907848
25,412.948,1.57867,2.42329,1.74559,0.39273,0.29762,0.27942,0.12923,1.98509,4.17506,2.44624,0.000874842,0.000874842,0.000874842
26,428.095,1.56619,2.34673,1.68387,0.15558,0.44048,0.20588,0.13907,2.04218,4.35724,2.49357,0.000841835,0.000841835,0.000841835
27,463.7,1.59005,2.47369,1.70725,0.15558,0.44048,0.20588,0.13907,2.04218,4.35724,2.49357,0.000808828,0.000808828,0.000808828
28,478.537,1.43044,2.18287,1.64006,0.75465,0.21429,0.24592,0.15572,2.0823,4.46704,2.46351,0.000775822,0.000775822,0.000775822
29,492.523,1.55487,2.17116,1.76066,0.78157,0.27742,0.24782,0.15181,2.20537,4.38153,2.51616,0.000742815,0.000742815,0.000742815
30,506.757,1.45049,2.336,1.72555,0.77143,0.28571,0.26744,0.15664,2.20486,4.31607,2.56384,0.000709809,0.000709809,0.000709809
31,520.54,1.50116,2.17761,1.75212,0.77143,0.28571,0.26744,0.15664,2.20486,4.31607,2.56384,0.000676802,0.000676802,0.000676802
32,534.39,1.5049,2.30995,1.71112,0.7781,0.27048,0.2631,0.18539,2.09217,3.98614,2.38628,0.000643795,0.000643795,0.000643795
33,548.145,1.43338,2.13391,1.59946,0.7704,0.35714,0.29782,0.22593,1.92032,3.65635,2.18493,0.000610789,0.000610789,0.000610789
34,562.632,1.37013,2.06169,1.58935,0.74352,0.35714,0.30219,0.25875,1.77836,3.52243,2.06029,0.000577782,0.000577782,0.000577782
35,577.63,1.37066,2.12399,1.62597,0.74352,0.35714,0.30219,0.25875,1.77836,3.52243,2.06029,0.000544776,0.000544776,0.000544776
36,592.564,1.3264,1.97321,1.48831,0.74376,0.35714,0.27684,0.19998,1.87907,3.35685,2.12325,0.000511769,0.000511769,0.000511769
37,606.309,1.24774,1.97033,1.44421,0.77914,0.28571,0.24916,0.18726,2.00273,3.2967,2.21602,0.000478762,0.000478762,0.000478762
38,620.324,1.25169,1.9971,1.4336,0.73929,0.35714,0.24985,0.16952,1.91846,3.28541,2.15598,0.000445756,0.000445756,0.000445756
39,636.603,1.22899,2.07879,1.55057,0.73929,0.35714,0.24985,0.16952,1.91846,3.28541,2.15598,0.000412749,0.000412749,0.000412749
40,667.849,1.41158,2.17963,1.63404,0.20511,0.44048,0.25575,0.17236,1.95759,3.2471,2.2356,0.000379743,0.000379743,0.000379743
41,681.462,1.33865,2.60792,1.68298,0.7454,0.35714,0.26663,0.18192,1.9959,3.33951,2.29142,0.000346736,0.000346736,0.000346736
42,694.437,1.34194,2.60546,1.65501,0.3049,0.44048,0.2886,0.20265,1.91232,3.4551,2.37988,0.000313729,0.000313729,0.000313729
43,707.605,1.20156,2.46691,1.59682,0.3049,0.44048,0.2886,0.20265,1.91232,3.4551,2.37988,0.000280723,0.000280723,0.000280723
44,720.408,1.14933,2.26468,1.49088,0.22095,0.44048,0.28407,0.20823,1.98645,3.32299,2.54124,0.000247716,0.000247716,0.000247716
45,733.596,1.20468,2.33812,1.58621,0.23934,0.52381,0.27369,0.19824,1.9203,3.27732,2.51406,0.00021471,0.00021471,0.00021471
46,746.666,1.14288,2.36101,1.47542,0.24108,0.45238,0.29994,0.21355,1.88313,3.25585,2.4799,0.000181703,0.000181703,0.000181703
47,759.644,1.24899,2.30307,1.53757,0.24108,0.45238,0.29994,0.21355,1.88313,3.25585,2.4799,0.000148696,0.000148696,0.000148696
48,772.722,1.25746,2.31118,1.62821,0.28144,0.27717,0.2755,0.207,1.83062,3.28714,2.42558,0.00011569,0.00011569,0.00011569
49,786.102,1.1776,2.1846,1.57355,0.22077,0.36905,0.28527,0.21095,1.811,3.25623,2.38855,8.26832e-05,8.26832e-05,8.26832e-05
50,799,1.19562,2.38269,1.57074,0.22451,0.37515,0.28691,0.20699,1.81415,3.24202,2.38994,4.96766e-05,4.96766e-05,4.96766e-05
